T�tulo;Rating;Votos;Duraci�n;Director;G�nero;A�o
The Guest;7.1;58;16;nm2397807;Horror,Short;2010
The Big Stuck in the Middle Episode;7.4;20;21;nm0899330;Comedy;2006
Road to Natesville;7.7;211;22;nm0038893;Comedy,Family;2014
Im Urwald;7.5;119;95;nm1656248;Drama;2018
The Voyeur 16;5;21;125;nm0504126;Adult;2000
Strange Signals from Outer Space;6.7;49;59;nm2238455;Documentary;2017
Elam Ferguson;8.8;993;42;nm0527109;Drama,Western;2014
Falling for a SongBird;3.8;17;15;nm5627998;Drama,Short;2016
She's Gonna Be Somebody;7.4;9;46;nm5784021;Documentary,Sport;2021
We Need Happiness;6.5;44;52;nm0812546;Documentary;2010
1+1=3;7.6;735;44;nm0870306;Drama,Mystery,Sci-Fi;2012
Dare ni mo ienai! Kotomi;6.9;17;23;nm4952443;Animation,Comedy,Romance;1994
Old Scores;6.6;12;49;nm0160614;Action,Comedy,Crime;1997
That Vitamin Movie;7.9;972;86;nm2918593;Documentary;2016
Life Rights;7.2;125;29;nm0315298;Comedy,Drama;2012
Nobody Wants a Fat Jockey;7.2;22;60;nm0259589;Drama;1970
En manos de la artesanía;9;10;15;nm9565985;Documentary,Short;2019
Squatching in the Midnight Sun;7.5;8;83;nm1577154;Documentary,Drama,Thriller;2014
Reba McEntire: Country Diva;3.9;94;60;nm1958034;Biography,Documentary,History;2009
Special Couple;4.1;32;106;nm3934263;Drama,Romance;2019
Kahrizak;6.6;21;86;nm0452103;Documentary;2012
Bubsy;3.1;254;30;nm0123746;Adventure,Animation,Comedy;1993
Uinki no tatakai;7;9;23;nm1425610;Adventure,Animation,Family;1986
The Big White;6.3;15457;100;nm0617042;Comedy,Crime,Drama;2005
The Africa Express;9;8;56;nm1956560;Documentary;2013
By Any Means Necessary;6.7;29;42;nm8316852;Biography,Documentary,Mystery;2024
Litter Kills: Litterally;8.4;271;22;nm0588087;Animation,Comedy,Sci-Fi;2003
Meat Puppet;8.2;70;11;nm2869309;Comedy,Horror,Short;2024
The Best Little Waitress in the World;7.8;56;30;nm0272214;Comedy;1982
Yolki 5;3.6;920;88;nm5382695;Comedy,Drama,Family;2016
Who Should We Let In? Ian Hislop on the First Great Immigration Row;6.1;9;60;nm1874901;Documentary;2017
Rampart;7.9;48;62;nm4505839;Documentary;2021
The Bacchae;6.6;15;85;nm0178873;Drama;2010
Der schlanke Tod;7.2;44;89;nm0414249;Crime,Drama,Mystery;1996
A Cry in the Night;4.9;178;96;nm0819901;Drama,Thriller;1992
Episode L - Tale of X-49;9.2;867;22;nm0850733;Action,Adventure,Animation;2004
Fallen Arches;6.6;5;11;nm4917893;Short;2018
Pillow Lane;8.2;244;23;nm0837426;Animation,Drama,Fantasy;2005
Rerun;7.6;20;23;nm0002848;Drama,Short,Thriller;1992
The Autumn Heart;6.3;237;110;nm0539369;Drama;1999
Torture Dungeon;3.9;375;80;nm0288958;Drama,Horror;1969
In Our Synagogue;7.3;31;20;nm4474086;Short;2019
Años cortos días eternos;8.5;6;62;nm8684307;Documentary;2021
True Blue;7.9;8;29;nm2943345;Documentary,Short;2016
Big Time Scandal;8.4;146;23;nm0390822;Comedy,Drama,Family;2013
I Am Evel Knievel;6.6;414;95;nm0712801;Documentary;2014
Auditions 2;6.7;18;60;nm1624919;Documentary,Game-Show,Music;2008
Proper Eyes;6.9;51;80;nm1391027;Drama;2007
Hit the Road: India;6.9;121;80;nm4248150;Documentary,Sport;2013
Soutuvenheellä Kiinaan;7.8;20;30;nm0876725;Comedy;1983
Side A;7.4;5;22;nm4306649;Drama,Romance,Short;2011
Lost;7.9;12;12;nm0994366;Drama,Short;2003
Sex on the Beach;4.1;20;86;nm3281838;Documentary;2010
Cameron Mackintosh: The Musical Man;8.7;7;90;nm2928255;Biography,Documentary,History;2017
Pacific Coast Haze;5.3;10;10;nm3377984;Adventure,Comedy,Crime;2013
Food for Love;7.4;14;52;nm2968894;Documentary;2013
I Love You;5.2;517;86;nm0006874;Comedy,Romance;1997
Viimeinen puristus;7;5;130;nm2788329;Game-Show,Reality-TV;2023
Concept Stores;6.6;48;50;nm2495534;Game-Show;2021
Graveyard Shift and Dummy Doll;6.5;11;42;nm7971882;Documentary;2021
The Truth Is in the Stars;6.7;422;86;nm2940781;Documentary;2017
Beyond the Supernova;7;28;58;nm6302480;Documentary;2018
Succubus;5.9;14;60;nm0238245;Horror;1987
My Fellow Americans;6.5;16123;101;nm0781842;Adventure,Comedy;1996
Sakura's Rival Appears!;7.9;87;25;nm0441090;Action,Adventure,Animation;1998
The Voice of Tinker Jones;8.2;435;50;nm0671984;Drama,Family,Romance;1974
La puerta y la mujer del carnicero;6.4;144;87;nm0882190;Drama,Fantasy,Horror;1969
Where Is Harry?;3.5;8;10;nm3249123;Drama,Short;2012
Red Light;6.1;920;57;nm10496165;Game-Show,Reality-TV;2023
Ratu Sakti Calon Arang;6.8;59;90;nm0310219;Action,Fantasy,Horror;1985
Großstadträuber;7;36;20;nm2124318;Romance,Short;2006
Room with a Queue;8;22;41;nm0673813;Drama;1997
Paleo Sleuths: Saber-Toothed Tigers;7.2;7;56;nm2387782;Documentary;2016
Wanya Morris;7.8;29;21;nm0235663;Comedy,Game-Show;2017
Episode #1.4;7.9;55;52;nm1450964;Crime,Drama,Fantasy;2018
Poker Night;6.2;8913;104;nm1378747;Crime,Mystery,Thriller;2014
Fenrir;6.4;10;1;nm6780802;Animation,Short;2009
Party;8.6;630;21;nm0251848;Comedy;2024
Whatever Happened to Baby Chip?;7.7;65;30;nm0449462;Comedy,Family;1966
The Isolation Permutation;7.6;3792;21;nm0148252;Comedy,Romance;2011
Una parigina a Roma;5.5;47;94;nm0462163;Comedy,Romance;1954
Bellicosity;9.1;24;25;nm4566539;Short,Thriller;2014
Not Forgotten;4.7;2921;96;nm0814786;Horror,Thriller;2009
Perfect: Android Rising;1.9;415;80;nm2031205;Action,Drama,Sci-Fi;2013
Mahdoton haaste;6.2;6;125;nm2788329;Game-Show,Reality-TV;2023
Où en êtes-vous Jafar Panahi?;5.7;56;21;nm0070159;Documentary,Short;2016
A Union in Wait;7;28;45;nm1037425;Documentary;2001
Marriages;6.7;91;95;nm0552041;Drama,History,Romance;2001
Fred the Flying Fish/CatDog Divided;6.4;86;24;nm1172823;Adventure,Animation,Comedy;1999
Let People Exit Before Boarding;6.5;52;13;nm8131879;Drama,Short;2018
Widowed Witness;8.3;11;44;nm1385801;Documentary;2020
Sword & Staff;6.7;24;22;nm0223403;Action,Adventure,Animation;1990
Episode #1.31;7.7;8;47;nm1644528;Action,Drama,Romance;2017
La fidanzata;6.3;17;11;nm1273344;Comedy,Short;2004
Lady Liberty;5.6;529;95;nm0598102;Comedy;1971
50 Cents;7;7;6;nm0311965;Short;2006
Preaching to the Choir;5.4;207;103;nm1306282;Comedy,Drama,Musical;2005
Navya;9.5;65;29;nm14668548;Drama,Romance;2011
Flashpoint;7.9;507;46;nm0957197;Crime,Drama,Mystery;2005
Body Shop;6.7;14;40;nm0229301;Comedy;2004
Nossa Terra;8.7;6;20;nm10065202;Documentary,Short;2018
Lost Holiday: The Jim & Suzanne Shemwell Story;5.5;323;90;nm0328849;Drama,Romance;2007
The Songstress of the Enemy Forces;7.9;41;23;nm1992375;Action,Adventure,Animation;2002
Tour des légendes;6.7;20;70;nm0256630;Documentary,Sport;2003
Broken;7.5;37;17;nm1183464;Crime,Drama,Short;2002
Cabin Fever;4.9;9;21;nm0853219;Drama,Fantasy,Horror;1998
Mortal Breakup Inferno;6.7;14;3;nm9261409;Animation,Short;2014
Superman in Exile;7.1;69;77;nm0086251;Action,Fantasy,Sci-Fi;1954
Skopje Remix;6.8;197;141;nm4032011;Action,Animation,Comedy;2012
Pravo stanje stvari;7.1;27;93;nm0805847;Drama;1964
Professor Small and Mr. Tall;6.3;34;8;nm0813992;Animation,Short;1943
Triste anniversaire / Sad Birthday;7;160;54;nm0908095;Drama,Thriller;2019
Episode #4.2;6.3;8;20;nm2427670;Reality-TV;2013
Road to the Final Episode;6.9;21;63;nm0860231;Comedy,Family,Game-Show;2008
Jor Jar Muluk Tar;7.5;15;135;nm1359229;Drama;2010
Love Happy;5.8;3149;85;nm0588183;Comedy,Crime,Music;1949
Last Chance;8.2;26;12;nm2424778;Drama,Short;2006
Der Waldmacher;6.9;88;87;nm0772522;Documentary;2021
Boo;7.5;365;43;nm0001102;Action,Crime,Drama;2007
I've got the callboys in my house;7.8;42;56;nm0250510;Comedy,Drama;2016
UHF;6.9;32410;97;nm0505409;Comedy,Sci-Fi;1989
Details;5.7;473;114;nm0677892;Drama;2003
Three Friends;6.9;552;92;nm0960375;Comedy,Drama,Romance;1972
A Tall Man;4.8;29;20;nm3656590;Documentary,Short;2010
She Beast;4.7;1517;79;nm0716262;Comedy,Horror,Thriller;1966
Trust Thomas;8.4;109;5;nm0594186;Adventure,Animation,Comedy;1991
Svedsko srce moje majke;6.8;42;88;nm3159294;Drama;2021
Episode #1.1;7.8;34;55;nm8803416;Crime,Documentary;2024
The Stalker 2;4.1;140;89;nm1303683;Drama,Mystery,Romance;2001
Lipstick Camera;4.1;305;91;nm0094592;Action,Thriller;1994
Secrets of the Founding Fathers;6.8;57;120;nm0510099;Biography,Documentary,History;2009
Chapter Seven;8.1;158;40;nm0305228;Comedy;2022
Ruth;8.2;9;26;nm3592682;Adventure,Animation,Family;2015
Candamo;8.1;11;50;nm4728578;Documentary;1996
Chapter Four: The Last Picture Show;7.9;2722;41;nm0686184;Crime,Drama,Mystery;2017
Outside Looking in;7.3;212;25;nm0008352;Animation,Comedy,Drama;1999
The Mighty Jungle;4.5;53;88;nm0067801;Adventure,Horror,Mystery;1964
Go Spork/Boskov's Day Out/Cod vs. Hector;7.7;20;22;nm0616835;Adventure,Animation,Comedy;2003
The Girl Who Joined the Circus;6.4;43;44;nm0290882;Game-Show,Reality-TV;2006
Woyzeck;7.6;18;93;nm2381441;Drama;2010
Episode #2.1;6.5;6;66;nm4351976;Reality-TV;2022
7 Up & Me;5.9;57;60;nm1126185;Documentary;2019
It Came by Moonlight;8.6;21;21;nm1899344;Fantasy,Horror,Romance;2009
Orion;3.6;124;92;nm3303410;Drama;2013
Mera Pind: My Home;6.3;111;165;nm0802168;Comedy,Drama,Musical;2008
Episode #1.2;8.2;5;44;nm0651369;Comedy,Talk-Show;2022
The Green Glove;6;959;88;nm0005789;Crime,Drama,Mystery;1952
Don't Stop;7.3;47;24;nm0407552;Animation,Comedy,Drama;2012
A banya;8.3;8;6;nm0417757;Animation;1996
Dog of the Rings;7.5;7;27;nm2055179;Animation,Comedy,Family;2008
Quan;7.5;58;23;nm2545652;Drama,Short;2010
Remoinho;7.1;8;13;nm10548233;Drama,Short;2020
"Everything Wrong With The Office ""Pilot""";2.6;13;7;nm10374390;Comedy;2019
Mutants;7;75;17;nm4443119;Comedy,Drama,Romance;2016
Episode #1.1;8.9;10;47;nm0845142;Drama,Romance;2000
We Summoned a Demon;9;28;4;nm3597252;Comedy,Fantasy,Sci-Fi;2023
Buns N' Roses;7.6;13;84;nm0408867;Adult;1990
La Muchacha de Servicio;9.4;11;7;nm11433505;Comedy,History,Short;2021
Pythias Was a Piker;8.4;39;30;nm0751514;Comedy,Family;1961
U2: The Best of 1980-1990;8.3;234;78;nm0324137;Documentary,Music;1999
Creep;8.4;397;41;nm0929360;Drama,Romance,Sci-Fi;2019
Bärande hav;3.6;23;108;nm0560489;Drama;1951
Ballroom;8.2;246;22;nm0125753;Comedy;2015
Dr. Throw/Nobody Plays 'It' Better;9.2;5;23;nm2463304;Action,Adventure,Animation;2011
Girl in Woods;3.3;575;87;nm2021453;Drama,Horror,Thriller;2016
B. Monkey;5.9;3613;92;nm0705535;Crime,Drama,Romance;1998
The Iron Butterfly;7.4;93;60;nm0671984;Western;1971
I Do;7.3;113;30;nm0790281;Comedy;1986
Dragotsennye zyorna;5.7;21;89;nm0953516;Drama;1948
Live Results Show;5.8;48;42;nm0332985;Documentary,Game-Show,Music;2009
The Colours of Infinity;7.7;564;52;nm0504212;Documentary;1995
A Harmful Piece of Advice;5.7;24;3;nm2604057;Animation,Short;1980
Jennifer;8.3;8;44;nm0823245;Documentary,Drama;2009
Maigret et les plaisirs de la nuit;7.1;148;82;nm0684226;Crime,Drama,Mystery;1992
BET Awards 2019;5.5;40;210;nm0855843;Music;2019
Return to Rainbow Island;7.2;7;23;nm2267748;Adventure,Animation,Family;2017
Hamlet & Hutch;5.9;153;90;nm4191127;Drama;2014
The Old Way;6.8;278;28;nm1667971;Action,Adventure,Animation;2021
Death House;6.6;11;49;nm0570946;Action,Comedy,Crime;1997
Let Your Feet Do the Talkin';6.8;8;28;nm1976006;Biography,Documentary,Family;2010
Boebie;7.5;6;25;nm2350513;Comedy;2022
The Death of the Heart;6.2;65;41;nm0000408;Drama;2015
Mother O'Brien;6.8;9;25;nm0614634;Drama;1956
Fever Dream;4.4;28;17;nm4504582;Drama,Short;2019
From Wretchnya with Love;6.6;13;11;nm1040532;Animation,Comedy,Drama;2011
The Second Oldest Profession;8.4;139;48;nm0125111;Crime,Drama,Mystery;1981
Little Bi Peep;6.1;112;78;nm2625253;Comedy,Drama,Romance;2013
The Secret of NIMH;6.7;19;34;nm3766090;Comedy;2022
Del 2;6;20;56;nm0536389;Crime,Thriller;2001
Vipers;3.3;1480;95;nm0002573;Action,Comedy,Drama;2008
Realiti;5.5;29;95;nm2204480;Sci-Fi;2014
Hanasaki keru kishi dou no oka;6;7;24;nm0559673;Adventure,Animation,Drama;1979
Red Maze;6.6;10;7;nm3037042;Action,Crime,Drama;2016
Glorious Failure;6.8;5;29;nm6486830;Comedy,Documentary,History;2020
The Mothman Legacy;5.2;290;77;nm7379431;Documentary;2020
John Neptune and the Siren's Vengeance;8.4;5;17;nm4899024;Action,Adventure,Sci-Fi;2013
The Wedding Song;6.6;885;100;nm0016900;Drama,History,War;2008
One of One Thousand;7.7;14;30;nm0012409;Western;1960
Zwei Asse und ein König;5.9;24;270;nm0279177;Drama;2000
In Vino Veritas;7.4;490;44;nm0587508;Crime,Drama,Mystery;2013
Blind Justice;6.3;40;97;nm0679974;Drama;1961
The Big Bad Fox and Other Tales;7.4;3805;83;nm2883649;Adventure,Animation,Comedy;2017
Baires;4.2;214;82;nm10865656;Action,Crime,Thriller;2015
Taboo 16;5.3;37;87;nm0511107;Adult,Drama;1996
Yawn of the Dead;7.7;10;19;nm7834192;Comedy,Short;2016
Meykinof;6.9;9;65;nm0345374;Documentary;2005
Liebe ist alles;8.2;41;18;nm1548089;Drama,Romance;2018
Episode #1.14;8.7;44;34;nm12489320;Crime,Drama,Mystery;2022
Kronk Moves In;6.5;40;23;nm0461419;Adventure,Animation,Comedy;2006
Constantinople;5.7;155;1;nm0698645;Short;1897
In the Line of Duty;7.7;343;40;nm0004610;Action,Crime,Drama;2015
Will Gets a Job;7.8;811;24;nm0265954;Comedy;1991
Best Friends for Life;5.7;7;23;nm0405038;Adventure,Animation,Comedy;2005
Danny Meets Andy Griffith;8.4;144;30;nm0502766;Comedy,Family;1960
Rescue Rangers to the Rescue: Part 2;7.4;134;24;nm0952572;Action,Adventure,Animation;1989
Five Days of Fire;8.2;8;80;nm3702467;War;2007
Mafia Inc;6.8;1692;143;nm0343898;Crime,Drama;2019
Triple X Files 12: Eat Up;7.8;8;92;nm1018310;Adult;1998
The Dark End of the Street;7.6;592;41;nm0833191;Action,Drama;2017
Silk;3.9;529;84;nm0379391;Action,Crime,Drama;1986
Ninja Terminator;4.4;1508;88;nm0061792;Action,Adventure;1986
Storm the Castle;9;562;22;nm0913739;Action,Adventure,Animation;2015
Wolf;6.9;13;60;nm0500837;Western;1959
Aitsu wa utenai;7.1;105;23;nm2110964;Action,Animation,Drama;2004
Je Shohore Taka Ore;9.1;54;84;nm16573335;Drama;2020
Monster Detectives;8.1;42;25;nm0793269;Adventure,Animation,Comedy;2005
Sting/Jason Schwartzman/The Last Ship;6.2;25;41;nm1206693;Comedy,Music,Talk-Show;2014
Palermo;8.4;6;53;nm9174743;Documentary;2017
Episode #4.7;7.2;6;58;nm8809631;Game-Show;2023
Almost Thirty Years;8.4;714;60;nm0009190;Action,Drama,Mystery;2002
The Last Passport;5.9;131;89;nm1902369;Drama;2009
Episode #3.2;7.5;11;50;nm0003412;Drama;2005
The Criminals;7.3;27;60;nm0272742;Drama;1958
The Art of Evil;6.9;13;23;nm0522436;Action,Adventure,Animation;1991
In God We Teach;6.7;33;62;nm0521353;Documentary;2011
The Amazing Colonel Doolittle;6.8;13;52;nm1259873;Documentary;1998
The Farmhand Who Bought the Farm;7.5;118;40;nm0002433;Comedy,Crime,Drama;2018
Ready When You Are Mr. McGill;6.6;341;95;nm0781477;Drama;2003
The Revenge of Frankenstein;7.2;21;8;nm3005544;Documentary;2013
Tell Your Children;6.8;47;5;nm0757508;Drama,Short;2007
A Very Social Secretary;7.2;133;90;nm0428448;Comedy,Drama;2005
JGA: Jasmin. Gina. Anna.;5.3;401;118;nm2285783;Comedy,Drama,Romance;2022
Notes on a Summer;5.3;166;83;nm3709371;Drama,Romance;2023
Darth Vader vs. the Rebel Fleet - Fearsome Fighter Pilot;4.7;95;1;nm2002689;Action,Adventure,Animation;2019
Meryl Streep - Mystères et métamorphoses;6.8;75;53;nm1056457;Biography,Documentary;2020
Hitler's Private World;6.9;12;46;nm2633477;Documentary;2006
Paper Boy;6.4;419;125;nm5864295;Romance;2018
Shoes and Hooves;7.8;18;15;nm9595672;Animation,Short;2024
Kenn' ich;4.1;33;84;nm0856605;Comedy;1981
Roses for Africa;7.6;45;183;nm0758137;Drama;1992
Mad Tiger;6.8;112;82;nm2347384;Comedy,Documentary,Drama;2015
Pussy Have the Power;5.9;69;15;nm6204560;Drama,Short;2014
Ransom;6.1;37;44;nm0660893;Action,Adventure,Crime;1996
The One Time Thing;9.7;8;17;nm8354680;Drama,Short;2016
Kalyana Parisu;7.4;49;194;nm0820232;Comedy,Drama;1959
Don't Kill the Messenger;7;14;44;nm2049812;Crime,Documentary;2014
Yokubô no kanshô;6;8;22;nm0299173;Action,Animation,Crime;2008
The King Who Fooled Hitler;6.4;119;49;nm0255750;Documentary;2019
Chaplinesque;5.4;46;8;nm0541617;Drama,Short;1993
Last of the Elephant Men;7.4;38;90;nm7280849;Documentary,Drama,History;2014
Deep Dish Apocalypse;6.3;87;8;nm1263285;Sci-Fi,Short;2018
Clubhouse;6.7;15;24;nm1751778;Comedy,Drama,Family;2010
Raising the Flag;7.4;11;30;nm1192526;Drama,Family;2015
The Wild Thornberrys;5.7;15446;85;nm0569814;Adventure,Animation,Comedy;2002
The Oath;7.2;962;90;nm0688636;Documentary;2010
Chess History;9.4;35;6;nm0305017;Documentary,History,Short;2011
Perfect Baby;5.5;75;92;nm2268925;Comedy,Drama,Romance;2011
Nimb Hotel;7.6;8;59;nm5980408;Documentary;2021
E o kaku kodomotachi: jidôga o rikai suru tame ni;6.6;45;38;nm0359869;Documentary,Short;1956
Secrets & Liza;7.8;233;21;nm0490792;Comedy,Romance;2016
Tri prání;7.4;96;96;nm0460033;Comedy,Drama,Fantasy;1958
Revenge of the Zombies;4.7;845;61;nm0782804;Drama,Horror,Thriller;1943
Marilyn Manson/Peaches;8.3;17;26;nm1597555;Music,Talk-Show;2007
Amor y venganza;6;14;96;nm0823974;Drama,Thriller;1991
A Friend Indeed;8;14;45;nm0795153;Drama;2001
A Night in Casablanca;6.9;7638;85;nm0562845;Comedy,Family;1946
Enbukyoku;8.8;18;25;nm2600512;Animation,Drama,Romance;2006
Güzel Ikili;4.2;53;115;nm2875578;Comedy,Romance;2016
Janice Bonnell;6.8;7;43;nm5006177;Crime,Documentary;2020
Biste-Fix Zeitblasen;7.2;26;24;nm1216097;Comedy,Sci-Fi;2011
Kate;7.2;16;30;nm0810026;Comedy,Game-Show;2016
Otokotachi no Aika;7.3;84;23;nm1356454;Action,Adventure,Animation;2003
Breakfast Lunch Dinner;6.6;31;87;nm2300866;Drama;2010
Simhadri;7;6;161;nm5676626;Drama;2014
Boyz 4 Now;8.5;1364;22;nm0161125;Animation,Comedy;2013
Quem Ama não Mata?;9.4;7;44;nm0576987;Crime,Drama,Romance;2015
Dead Shack;5.5;2936;85;nm2808944;Action,Comedy,Horror;2017
Episode #1.154;8.6;5;56;nm2102826;Comedy,Crime,Drama;2012
The Green Pastures;7;930;93;nm0445033;Drama;1936
Caleb's Door;3.5;87;82;nm1112647;Thriller;2009
Poisoned by Polonium: The Litvinenko File;7.2;397;105;nm0624963;Biography,Documentary,History;2007
A Hole in My Heart;4.4;5118;98;nm0600546;Drama;2004
After;7.2;17;24;nm0595269;Drama,Short;1998
The Burger Joint;8.2;15;7;nm1381217;Comedy,Short;2006
Grindsploitation 666;4.2;105;129;nm6935209;Horror;2018
The Gowanus Canal Has Gonorrhea!;7.8;349;27;nm0499724;Comedy,Crime,Drama;2010
Return to Sender;7.4;10;30;nm0291201;Adventure;1972
Masks;7.2;29;8;nm0809510;Animation,Drama,Music;2010
Saagar;6.9;1093;186;nm0802693;Drama,Romance;1985
World's Dirtiest Man;6.2;19;43;nm0008408;Documentary;2011
The King Murder;5.3;220;67;nm0861703;Crime,Mystery;1932
Wedding Day;7.4;291;5;nm0793062;Comedy,Crime,Drama;2009
Late Autumn;5;32;110;nm0453678;Drama,Romance;1982
Satisfied ???;6.2;7;9;nm3580935;Drama,Short,Thriller;2011
Mädchenjahre einer Königin;7.9;29;96;nm0257068;Comedy;1936
Fäder;7.5;23;58;nm0039660;Drama;1998
Unlocked the Series;7.4;11;72;nm2888663;Action,Comedy,Fantasy;2011
Return to the Pridelands;8.2;67;24;nm1849926;Action,Adventure,Animation;2019
Grace's Secret;8.1;419;21;nm0123273;Comedy,Romance;2018
Episode #4.2;6.7;8;47;nm7100770;Reality-TV,Romance;2019
There's Something About Mira;8.1;1182;43;nm0005088;Comedy,Crime,Mystery;2008
Episode #1.21;7.9;91;24;nm2128776;Animation,Comedy;2011
Jackass Presents Bad Grandpa;4.3;9;7;nm3973010;Talk-Show;2013
Erratum 2037;5.9;14;77;nm11513322;Sci-Fi;2017
Head Noob in Charge;7.5;108;5;nm0002438;Action,Adventure,Animation;2003
Taikan shiki no maki;6.1;10;24;nm0856804;Adventure,Animation,Family;1967
I Can Travel to Future;8.3;19;64;nm6563433;Drama,Fantasy,Romance;2017
Black.White.Red.;7.8;20;93;nm1098492;Mystery,Thriller;2024
Costa Brava;6.7;1072;106;nm3701357;Drama;2021
A House Divided;8.4;15;21;nm0222062;Adventure,Crime,Documentary;2012
Deeper: The Retribution of Beth;4.9;548;80;nm2302581;Drama,Horror,Thriller;2014
O Noivo da Girafa;7.5;90;92;nm0510723;Comedy;1957
We Were Wolves;7;9;11;nm2573354;Drama,Family,Romance;2012
Episode #3.11;7.8;8;60;nm8809889;Adventure,Game-Show,Reality-TV;2023
Runaway Reptar Part 1;6.9;91;13;nm0392146;Adventure,Animation,Comedy;1999
Moruten no konyaku;6.3;33;29;nm0651900;Adventure,Animation,Family;1980
The Eye of Agamotto - Part One;7;111;22;nm0253137;Action,Adventure,Animation;2018
Mondo Nude;4.8;18;83;nm0469734;Documentary;1979
Midnight;5.5;1295;76;nm0259838;Crime,Drama,Film-Noir;1934
Among the Sex Offenders;7.6;297;58;nm1136032;Documentary;2014
Rigoletto e la sua tragedia;5;31;91;nm0131021;Musical,Romance;1956
Tomar Distancia;6.6;13;57;nm0031653;Comedy,Drama,Music;2018
Nowhere Girl;5.7;195;103;nm3608494;Comedy;2014
CASA: A sweet Heaven;8.9;8;13;nm14594898;Family,Short;2023
The Katt Phenomenon;5.9;25;30;nm2941328;Documentary,Short;2009
Crash Testing a Renault Megane;7.8;267;54;nm0458676;Adventure,Sport,Talk-Show;2003
A Woman of the World;6.8;190;70;nm0820461;Comedy,Drama,Romance;1925
Demonia;4.6;2142;88;nm0002086;Horror,Mystery;1990
The Great Silence;7.7;18630;105;nm0179281;Drama,Western;1968
O mistru Hanusovi;6.5;8;13;nm1762881;Animation,Short;1976
Ligga;5.2;6;15;nm0746898;Drama;2012
Zero;4.7;25;23;nm4920038;Horror,Short;2016
Flushed Out;6.1;14;60;nm2719943;Adventure,Biography,Documentary;2017
Coeur de coq;6.2;37;75;nm0166996;Comedy;1946
The Last Pirate;7;28;56;nm10042679;Action,Adventure,Fantasy;2023
Kartellen - Lys upp skuggorna;6.6;24;75;nm6149740;Documentary;2016
Ouroboros;5.6;84;75;nm5550825;Documentary;2017
Adventures with the Baumgartners;7.3;18;302;nm4482186;Adult,Romance;2017
After the Final Rose;5.5;17;44;nm1326252;Game-Show,Reality-TV,Romance;2010
Little Saigon;7.1;11;49;nm0612671;Action,Comedy,Crime;1999
Mother Fucker;7.7;7;8;nm2984698;Drama,Short;2022
Lez Chat;7;67;2;nm1178424;Comedy,Short;2010
The Blue Lagoon;5.8;78558;104;nm0459170;Adventure,Drama,Romance;1980
Ente Mamattikkuttiyammakku;7.5;134;116;nm0269778;Drama;1983
After Rain;8;4969;24;nm7847387;Action,Adventure,Animation;2020
Decir Adiós;8.1;19;70;nm2199822;Documentary,Sport;2018
Mudita;9;8;140;nm2931512;Drama,Music,Musical;2017
Alice è in paradiso;7.2;19;60;nm0157337;Documentary;2002
My Friends Tigger and Pooh: The Hundred Acre Wood Haunt;6.8;113;72;nm0533557;Animation;2008
Star Turn;7.9;326;43;nm0085512;Crime,Drama,Mystery;2011
Volchya yama;6.6;33;146;nm0787913;Crime,Drama;1984
Good Witch Spellbound;7.3;379;94;nm0003588;Comedy,Drama,Fantasy;2017
Episode #3.21;9.3;33;140;nm7032639;Crime,Drama;2016
Fabulous Fairies;8.3;16;50;nm1925430;Documentary;2008
Three Men and a Boubier;6.6;103;22;nm0907835;Comedy;2013
That's Me Over There;7.6;262;52;nm0635554;Action,Adventure,Comedy;1971
Hawaiian Escapade;7.4;199;30;nm0053484;Adventure,Animation,Comedy;1962
Interception;7.8;13;13;nm3928268;Crime,Drama,Short;2010
Fracture;7.5;18;13;nm0110293;Animation,Short;1977
Wedding Cake Dreams;6.2;306;85;nm0627492;Romance;2021
Makeup;7.9;394;22;nm2711496;Animation,Drama,Fantasy;2012
Don Verdean;5.4;5829;90;nm0381478;Adventure,Comedy,Crime;2015
Desert Eagle.;7.9;7;7;nm4429043;Documentary,History;2014
Pkida Plugatit;7.5;49;47;nm1356268;Drama,Mystery,Thriller;2012
We Regret to Inform You;7.7;278;29;nm0595657;Comedy;1995
1964 Hallelujah Amsterdam;8;12;49;nm0969087;Biography,Drama,Music;2014
Muhammad and Larry;7;916;51;nm2206827;Biography,Documentary,History;2009
Mirror Mirror;7.4;159;21;nm0169712;Comedy,Fantasy,Horror;2017
Susan Sarandon;7.6;21;41;nm7314983;Talk-Show;2015
Night Raid;7.3;16;24;nm0464815;Action,Adventure,Drama;2004
Martin Margiela: In His Own Words;7.3;456;90;nm1339108;Biography,Documentary;2019
Namibia;7.6;10;60;nm2808514;Documentary;2024
No Deposit;6.3;11;12;nm0132352;Romance,Short;2004
In His Head;8.1;148;60;nm0703975;Crime,Drama,Mystery;2018
Must Be a Night for Fires;8.4;22;44;nm0132757;Crime,Drama,Mystery;2005
Love: The Movie;6.5;43;9;nm1370156;Comedy,Romance,Short;2004
Good News;7.4;19;8;nm0125803;Comedy;2021
The Story of the Monkey King;5.2;32;8;nm0959977;Animation,Short;1926
Robin: Watch for Wishes;5.5;195;80;nm5604338;Drama;2018
The Krofft Comedy Hour;7.5;8;60;nm0716502;Comedy;1978
Somebody That I Used to Know;7.6;944;42;nm0342603;Drama,Fantasy,Horror;2016
Ray Liotta/The Donnas;5.6;78;90;nm8707816;Comedy,Music;2003
Nineteen;7.4;94;11;nm4444579;Drama,Short;2015
